"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","WORKING-WITH-SPACES---METTA-LANGUAGE3.01","","Tue Nov 12 18:44:23 GMT 2024","passed","Tue Nov 12 18:44:23 GMT 2024","","METTA-LANG","METTA-LANG",""
"","8000","hyperon-mettalog_sanity.00_lang_case","","Tue Nov 12 18:26:51 GMT 2024","passed","Tue Nov 12 18:26:59 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","1","INTERSECTION-TESTS.19","","Tue Nov 12 18:35:12 GMT 2024","passed","Tue Nov 12 18:35:12 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1","F1-IMPORTS.13","","Tue Nov 12 18:32:05 GMT 2024","passed","Tue Nov 12 18:32:05 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","2","D2-HIGHERFUNC.19","","Tue Nov 12 19:07:31 GMT 2024","passed","Tue Nov 12 19:07:31 GMT 2024","","QUICK","QUICK",""
"","1","B5-TYPES-PRELIM.04","","Tue Nov 12 18:32:05 GMT 2024","passed","Tue Nov 12 18:32:05 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","66","F1-IMPORTS.11","","Tue Nov 12 19:07:31 GMT 2024","failed","Tue Nov 12 19:07:31 GMT 2024","","QUICK","QUICK",""
"","1","BASIC-GROUNDED-FUNCTIONS---METTA-LANGUAGE6.02","","Tue Nov 12 18:44:23 GMT 2024","passed","Tue Nov 12 18:44:23 GMT 2024","","METTA-LANG","METTA-LANG",""
"","4","METATYPES---METTA-LANGUAGE6.01","","Tue Nov 12 18:44:23 GMT 2024","passed","Tue Nov 12 18:44:23 GMT 2024","","METTA-LANG","METTA-LANG",""
"","8000","hyperon-experimental_scripts.b2_backchain","","Tue Nov 12 18:26:51 GMT 2024","passed","Tue Nov 12 18:26:59 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","1","F1-MODULEA.05","","Tue Nov 12 18:32:05 GMT 2024","passed","Tue Nov 12 18:32:05 GMT 2024","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","80","WORKING-WITH-SPACES---METTA-LANGUAGE5.02","","Tue Nov 12 18:44:23 GMT 2024","passed","Tue Nov 12 18:44:23 GMT 2024","","METTA-LANG","METTA-LANG",""
"","45","MINIMAL-METTA-TESTS.12","","Tue Nov 12 18:35:12 GMT 2024","passed","Tue Nov 12 18:35:12 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","8000","hyperon-experimental_scripts.b3_direct","","Tue Nov 12 18:26:51 GMT 2024","passed","Tue Nov 12 18:26:59 GMT 2024","","WHOLE-TESTS","WHOLE-TESTS",""
"","2","FIND-ALL-TESTS.03","","Tue Nov 12 18:35:12 GMT 2024","passed","Tue Nov 12 18:35:12 GMT 2024","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
